name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-10,18.1,8.5,13.3,1.411,100,20.83,rain,0,0,Partly cloudy throughout the day with rain.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-11,20.6,5.7,12.8,0.068,100,8.33,rain,0,0,Clear conditions throughout the day with rain.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-12,20.5,9.1,13.7,0,0,0,,0,0,Clear conditions throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497,F0246",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-13,24.3,7.1,15.1,0.06,100,4.17,rain,0,0,Clear conditions throughout the day with morning rain.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-14,28.6,10.8,19.1,0,0,0,,0,0,Clear conditions throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,E9655,03591,15000,02497,F0246",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-15,30.6,14,21.5,0,0,0,,0,0,Clear conditions throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,E9655,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-16,27.1,16.2,20.7,0,0,0,,0,0,Partly cloudy throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-17,17.8,9.5,13.3,0.307,100,8.33,rain,0,0,Clearing in the afternoon with rain.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-18,21.5,6.6,14.1,0,0,0,,0,0,Clear conditions throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,F2026,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-19,25.1,8.8,16.8,0,0,0,,0,0,Clear conditions throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-20,23,9,15.6,0,0,0,,0,0,Partly cloudy throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-21,23.1,5.6,14.5,0,0,0,,0,0,Clear conditions throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-22,23.3,6.9,14.9,0,0,0,,0,0,Clear conditions throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-23,20.4,8.2,14.8,0,0,0,,0,0,Becoming cloudy in the afternoon.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-24,15.5,8.8,12.3,3.709,100,25,rain,0,0,Partly cloudy throughout the day with rain.,"D9580,06494099999,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-25,11.7,5,7.4,12.574,100,66.67,rain,0,0,Cloudy skies throughout the day with rain.,"D9580,06494099999,AR293,06478099999,06496099999,04508,03591,15000,02497",obs
"Rue de Spa, 4970 Stavelot, Belgique",2020-09-26,9.1,5.7,7.1,27.832,100,83.33,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"D9580,06494099999,06478099999,06496099999,04508,E5682,03591,15000,02497",obs
