name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Albert Park, Melbourne, VIC, Australia",2020-01-19,24.7,18,21,0.748,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-20,21.1,15.6,18.9,37.846,100,8.33,rain,0,0,Cloudy skies throughout the day with rain.,"AV396,95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-21,21.7,15,17.6,4.884,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-22,31.2,14.6,22.3,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-23,21.3,13,17,13.084,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-24,23.5,11.9,17.9,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-25,26.7,13.5,20.1,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-26,22.7,16,19.3,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-27,22.7,13.1,18.2,0,0,0,,0,0,Becoming cloudy in the afternoon.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-28,25,13.7,18.3,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-29,31.1,15.3,22.2,0,0,0,,0,0,Clearing in the afternoon.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-30,39.1,16.4,27.5,0,0,0,,0,0,Clear conditions throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-01-31,42.2,22.5,30.2,0.407,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-01,29.1,16.3,22.3,11.566,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,D6954,94866099999,YMEN,95936099999,E1876,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-02,25.1,14.6,18.6,4.003,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-03,17,13.2,15.7,0.021,100,8.33,rain,0,0,Partly cloudy throughout the day with rain in the morning and afternoon.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-04,18.7,11.5,15.4,0,0,0,,0,0,Clearing in the afternoon.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-05,19.7,11.1,15.9,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-06,25.3,14,19.3,0,0,0,,0,0,Clearing in the afternoon.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-07,23.1,18.3,20.2,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-08,29.1,17.6,23.1,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-09,27.5,19.6,22.4,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-10,27.3,18.6,22,0.61,100,12.5,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-11,25.6,19.8,21.8,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-12,27,19.3,21.8,0.007,100,12.5,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-13,30.6,19.6,24.4,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-14,32.7,20.5,23.7,3.537,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,E1620,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-15,21.1,17.3,18.8,2.342,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"AV396,95874099999,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-16,26.1,17.1,20.2,0.208,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"95874099999,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-17,24.8,15.3,20.1,0,0,0,,0,0,Clear conditions throughout the day.,"95874099999,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-18,21.1,15.3,18.8,18.846,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-19,18.7,13.6,15.9,20.278,100,16.67,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-20,18.1,14.3,16.1,1.005,100,4.17,rain,0,0,Cloudy skies throughout the day with early morning rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-21,19.3,13.6,16.2,0.396,100,16.67,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-22,20.7,11.8,16.5,0,0,0,,0,0,Clear conditions throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-23,33.5,13.5,21,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-24,23.2,17.6,20.1,2.836,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-25,30.6,18.6,21.8,4.595,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-26,18.2,15,17,0.267,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-27,19.5,11,15.6,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-28,19.5,14.5,16.8,0.022,100,12.5,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-02-29,22,14.6,17.9,0,0,0,,0,0,Partly cloudy throughout the day.,"95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-03-01,31.7,13.5,21.4,0,0,0,,0,0,Partly cloudy throughout the day.,"AV396,95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,F0862,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-03-02,19.6,14.2,16.4,2.885,100,12.5,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"AV396,95874099999,D6954,94866099999,YMEN,95936099999,95866099999,94865099999,YMML,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-03-03,19.1,14.6,16.4,0.002,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"AV396,95874099999,94866099999,95936099999,95866099999,94872099999,D6954,YMEN,94865099999,YMML,F0862,94864099999,94854099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2020-03-04,23,13.6,17.4,0.438,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"AV396,95874099999,D6954,94866099999,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999",obs
