name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Marina Bay Street Circuit,2010-01-31,32,25.9,28.5,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-01,32.8,25.7,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-02,33.4,24.7,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-03,33.2,25.7,28.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-04,33.6,25.9,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-05,33,25.3,28,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-06,32.6,25.7,28.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-07,33,25.8,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-08,32.9,26,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-09,31.7,26,28.4,1.774,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-10,32.7,25.9,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-11,32.4,26.9,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-12,33.7,25.9,29,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-13,33.4,26.1,29.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-14,33,26.6,29.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-15,31.9,26.9,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-16,33.2,26.7,29.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-17,33.8,26.6,29.2,3.016,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-18,32.3,26.4,28.9,0.016,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-19,32,25.3,28.5,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-20,31.4,26.8,28.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-21,33.6,26.1,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-22,32.7,26.4,29.1,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-23,33.9,26.7,29.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-24,34.4,26,29.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-25,34.2,26.6,29.4,0.887,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-26,34.1,26.9,29.5,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-27,34,26.7,29.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-28,34.3,26.6,29.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-01,33.2,26.9,29.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-02,34.6,26.6,29.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-03,35,26.8,29.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-04,34.7,26.3,29.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-05,34,26.7,29.5,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-06,34.7,25.9,29.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-07,34.7,26.1,29.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-08,35.2,26.6,29.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-09,33.8,26.9,29.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-10,32,25.6,28.5,31.664,100,16.67,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-11,33,25.8,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-12,32.8,26.9,29.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-13,31.6,27,28.6,7.096,100,8.33,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-14,33,26.8,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-15,32.7,26,28.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-16,30.6,25.9,27.9,2.395,100,8.33,rain,0,0,Partly cloudy throughout the day with rain in the morning and afternoon.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-17,33.7,25.7,29.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-18,31.6,24.7,27.6,22.174,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-19,31.1,25,26.9,10.023,100,25,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-20,26,24.9,25.6,20.488,100,20.83,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-21,32.6,24.6,27.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-22,33.4,25.9,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-23,30.3,24.7,27.9,51.443,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-24,32.9,25.7,28.4,1.774,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-25,34,25.4,28.1,20.4,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-26,33.8,25.6,28.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-27,33.2,26.3,29.1,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-28,33.6,26.1,29.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-29,33.9,26,28.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-30,31.8,26.7,28.1,0.089,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-03-31,31.9,26.2,27.9,43.46,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-01,31.5,25.9,28.5,5.402,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-02,32.9,25.7,29.1,9.735,100,16.67,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-03,32.8,25.6,27.8,4.79,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-04,28,23.3,26,17.915,100,12.5,rain,0,0,Partly cloudy throughout the day with rain in the morning and afternoon.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-05,33.4,24.9,28,0.089,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-06,34.5,25.1,29.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-07,34.4,27.6,30,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-08,33.6,27.3,29.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-09,33.5,27.3,29.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-10,31.4,26.3,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-11,34,26.7,29.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-12,35.2,26,30.4,12.417,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-13,33.8,25,28.8,25.012,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-14,34.5,24.9,29.2,4.401,100,8.33,rain,0,0,Partly cloudy throughout the day with early morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-15,34.5,24.2,29.1,15.078,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-16,33.1,25.7,28.3,0.976,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-17,34.5,25.6,28.7,35.477,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-18,31.6,25.7,28,0.887,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-19,33.6,25,27.9,7.539,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-20,33.3,25.9,28.3,0.976,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-21,32.2,26.9,28.4,0.887,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-22,33,25.4,28.4,3.548,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-23,34,25.8,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-24,32.9,26.6,28.4,0.798,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-25,32.4,25.8,29,2.234,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-26,29.9,25.7,27.6,4.878,100,8.33,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-27,33.6,25.6,29.1,0.532,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-28,33.5,25.8,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-29,32.4,27.6,29.2,0.266,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-04-30,34.2,26.9,30.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-01,35.1,27.7,30.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-02,34.5,26.9,30.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-03,32.4,27.3,29.7,0.887,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-04,34.9,27.7,30.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-05,33.3,27.6,30.1,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-06,33.1,27.7,30.2,1.49,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-07,35.3,27.7,30.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-08,34.7,27.8,29.6,17.738,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-09,32.1,26.4,28.8,0.048,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-10,32,26.2,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-11,33.7,26.9,29,2.661,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-05-12,32.7,26.5,29.3,2.661,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
