name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Autodromo Nazionale Monza,2010-01-31,6.1,-0.7,1.9,0,0,0,"rain,snow",0.2,0.1,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-01,6,-5.4,-0.2,0,0,0,,0,0,Clear conditions throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-02,6.3,-3.9,0.6,0,0,0,,0,0,Clear conditions throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16088099999,16066099999,LIML,06771099999",obs
Autodromo Nazionale Monza,2010-02-03,8,-1.5,2.3,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-04,5.3,1.3,3.2,0,0,0,rain,0.7,0.3,Cloudy skies throughout the day.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-05,3.2,0.3,1.3,13.048,100,83.33,"rain,snow",1.5,1.2,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-06,5.7,1.5,3.1,9.226,100,16.67,"rain,snow",0,0.1,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-07,6.2,-0.1,2.3,0.262,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-08,2.6,-1.4,0.5,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-09,2.7,0,1.4,0,0,0,,0,0,Cloudy skies throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-10,5.4,0,2.7,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-11,3.3,0.9,2.2,0.651,100,12.5,"rain,snow",1.5,0,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-12,8.5,0.7,3.5,0.211,100,8.33,rain,0,0,Partly cloudy throughout the day with early morning rain.,"16080099999,06760099999,16076099999,06770099999,06762099999,16088099999,16066099999,06771099999,LIML",obs
Autodromo Nazionale Monza,2010-02-13,9.8,-2,2.7,0,0,0,,0,0,Clear conditions throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-14,6.5,0.2,2.7,0.077,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-15,4.4,-2,1.3,0.059,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-16,4.7,2.3,3.5,0.048,100,4.17,rain,0,0,Cloudy skies throughout the day with morning rain.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-17,5.8,3.2,4.4,4.659,100,62.5,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-18,9.6,3.3,5.8,12.111,100,41.67,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-19,7.3,5.6,6.6,21.376,100,75,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16088099999,16066099999,06771099999,LIML",obs
Autodromo Nazionale Monza,2010-02-20,12.4,4.2,7.5,0.93,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-21,8.9,0.3,4.7,0.062,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-02-22,5.6,3.3,4.5,2.666,100,66.67,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
